station_origin,station_destination,flows
Abbey Road,Bank and Monument,0
Abbey Road,Beckton,1
Abbey Road,Blackwall,3
Abbey Road,Canary Wharf,1
Abbey Road,Canning Town,37
Abbey Road,Crossharbour,1
Abbey Road,Custom House,0
Abbey Road,Cutty Sark,2
Abbey Road,Cyprus,7
Abbey Road,Devons Road,1
Abbey Road,East India,2
Abbey Road,Island Gardens,2
Abbey Road,King George V,5
Abbey Road,Langdon Park,8
Abbey Road,Lewisham,0
Abbey Road,Limehouse,2
Abbey Road,London City Airport,4
Abbey Road,Pontoon Dock,8
Abbey Road,Poplar,0
Abbey Road,Prince Regent,1
Abbey Road,Royal Albert,4
Abbey Road,Shadwell,1
Abbey Road,South Quay,7
Abbey Road,Star Lane,7
Abbey Road,Stratford,285
Abbey Road,Stratford High Street,10
Abbey Road,Stratford International,33
Abbey Road,West Ham,130
Abbey Road,West Silvertown,2
Abbey Road,Westferry,3
Abbey Road,Woolwich Arsenal,32
Acton Central,Barking,0
Acton Central,Blackhorse Road,0
Acton Central,Brondesbury,76
Acton Central,Brondesbury Park,31
Acton Central,Bushey,0
Acton Central,Caledonian Road & Barnsbury,22
Acton Central,Camden Road,52
Acton Central,Canada Water,0
Acton Central,Canonbury,3
Acton Central,Carpenders Park,0
Acton Central,Crouch Hill,2
Acton Central,Dalston Kingsland,5
Acton Central,Denmark Hill,0
Acton Central,Edmonton Green,0
Acton Central,Euston,17
Acton Central,Finchley Road & Frognal,52
Acton Central,Gospel Oak,18
Acton Central,Gunnersbury,102
Acton Central,Hackney Central,10
Acton Central,Hackney Wick,5
Acton Central,Haggerston,2
Acton Central,Hampstead Heath,59
Acton Central,Harlesden,0
Acton Central,Harringay Green Lanes,3
Acton Central,Harrow & Wealdstone,3
Acton Central,Hatch End,0
Acton Central,Headstone Lane,4
Acton Central,Highams Park,0
Acton Central,Highbury & Islington,49
Acton Central,Homerton,3
Acton Central,Hoxton,4
Acton Central,Kensal Green,0
Acton Central,Kensal Rise,39
Acton Central,Kentish Town West,54
Acton Central,Kenton,2
Acton Central,Kew Gardens,18
Acton Central,Kilburn High Road,0
Acton Central,Leyton Midland Road,0
Acton Central,Leytonstone High Road,0
Acton Central,New Cross,1
Acton Central,New Cross Gate,0
Acton Central,North Wembley,0
Acton Central,Queen's Park,0
Acton Central,Richmond,318
Acton Central,Shadwell,0
Acton Central,Shoreditch High Street,4
Acton Central,South Acton,7
Acton Central,South Hampstead,3
Acton Central,South Kenton,0
Acton Central,South Tottenham,0
Acton Central,Stonebridge Park,0
Acton Central,Stratford,11
Acton Central,Surrey Quays,0
Acton Central,Upper Holloway,4
Acton Central,Watford High Street,3
Acton Central,Watford Junction,5
Acton Central,Wembley Central,1
Acton Central,West Hampstead,141
Acton Central,White Hart Lane,0
Acton Central,Whitechapel,1
Acton Central,Willesden Junction,90
Acton Central,Woodgrange Park,0
Acton Main Line,Ealing Broadway,35
Acton Main Line,Hayes & Harlington,13
Acton Main Line,Paddington,319
Acton Main Line,Southall,16
Acton Main Line,West Ealing,5
Acton Town,Aldgate,3
Acton Town,Aldgate East,17
Acton Town,Alperton,35
Acton Town,Amersham,0
Acton Town,Angel,11
Acton Town,Archway,1
Acton Town,Arnos Grove,1
Acton Town,Arsenal,0
Acton Town,Baker Street,19
Acton Town,Balham,0
Acton Town,Bank and Monument,66
Acton Town,Barbican,9
Acton Town,Barking,1
Acton Town,Barkingside,0
Acton Town,Barons Court,84
Acton Town,Bayswater,3
Acton Town,Becontree,0
Acton Town,Belsize Park,0
Acton Town,Bermondsey,6
Acton Town,Bethnal Green,2
Acton Town,Blackfriars,39
Acton Town,Blackhorse Road,0
Acton Town,Bond Street,27
Acton Town,Borough,1
Acton Town,Boston Manor,62
Acton Town,Bounds Green,1
Acton Town,Bow Road,1
Acton Town,Brixton,16
Acton Town,Bromley-by-Bow,2
Acton Town,Burnt Oak,0
Acton Town,Caledonian Road,2
Acton Town,Camden Town,3
Acton Town,Canada Water,11
Acton Town,Canary Wharf,57
Acton Town,Canning Town,3
Acton Town,Cannon Street,18
Acton Town,Canons Park,0
Acton Town,Chalfont & Latimer,0
Acton Town,Chalk Farm,0
Acton Town,Chancery Lane,20
Acton Town,Charing Cross,5
Acton Town,Chiswick Park,20
Acton Town,Chorleywood,1
Acton Town,Clapham Common,3
Acton Town,Clapham North,1
Acton Town,Clapham South,2
Acton Town,Cockfosters,0
Acton Town,Colindale,0
Acton Town,Colliers Wood,0
Acton Town,Covent Garden,44
Acton Town,Croxley,0
Acton Town,Dagenham East,0
Acton Town,Dagenham Heathway,0
Acton Town,Dollis Hill,0
Acton Town,Ealing Broadway,107
Acton Town,Ealing Common,13
Acton Town,Earl's Court,129
Acton Town,East Acton,2
Acton Town,East Finchley,0
Acton Town,East Ham,1
Acton Town,East Putney,13
Acton Town,Eastcote,2
Acton Town,Edgware,1
Acton Town,Edgware Road,12
Acton Town,Elephant & Castle,20
Acton Town,Embankment,16
Acton Town,Euston,14
Acton Town,Euston Square,3
Acton Town,Farringdon,19
Acton Town,Finchley Central,1
Acton Town,Finchley Road,0
Acton Town,Finsbury Park,7
Acton Town,Fulham Broadway,41
Acton Town,Gants Hill,0
Acton Town,Gloucester Road,62
Acton Town,Golders Green,1
Acton Town,Goldhawk Road,0
Acton Town,Goodge Street,14
Acton Town,Great Portland Street,10
Acton Town,Green Park,79
Acton Town,Greenford,2
Acton Town,Gunnersbury,0
Acton Town,Hammersmith,391
Acton Town,Hampstead,0
Acton Town,Harrow-on-the-Hill,6
Acton Town,Hatton Cross,62
Acton Town,Heathrow Terminal 4,10
Acton Town,Heathrow Terminal 5,18
Acton Town,Heathrow Terminals 123,44
Acton Town,Hendon Central,0
Acton Town,High Street Kensington,16
Acton Town,Highbury & Islington,4
Acton Town,Highgate,1
Acton Town,Hillingdon,0
Acton Town,Holborn,117
Acton Town,Holland Park,0
Acton Town,Holloway Road,7
Acton Town,Hounslow Central,42
Acton Town,Hounslow East,55
Acton Town,Hounslow West,20
Acton Town,Hyde Park Corner,34
Acton Town,Ickenham,0
Acton Town,Kennington,2
Acton Town,Kentish Town,1
Acton Town,Kew Gardens,4
Acton Town,Kilburn,0
Acton Town,King's Cross St. Pancras,64
Acton Town,Kingsbury,0
Acton Town,Knightsbridge,64
Acton Town,Ladbroke Grove,9
Acton Town,Lambeth North,6
Acton Town,Lancaster Gate,1
Acton Town,Latimer Road,6
Acton Town,Leicester Square,52
Acton Town,Leyton,0
Acton Town,Leytonstone,0
Acton Town,Liverpool Street,55
Acton Town,London Bridge,39
Acton Town,Manor House,1
Acton Town,Mansion House,41
Acton Town,Marble Arch,1
Acton Town,Marylebone,1
Acton Town,Mile End,3
Acton Town,Mill Hill East,2
Acton Town,Moorgate,14
Acton Town,Morden,0
Acton Town,Mornington Crescent,5
Acton Town,Newbury Park,0
Acton Town,North Acton,3
Acton Town,North Ealing,20
Acton Town,North Greenwich,13
Acton Town,Northfields,30
Acton Town,Northolt,1
Acton Town,Northwick Park,3
Acton Town,Northwood,2
Acton Town,Northwood Hills,1
Acton Town,Notting Hill Gate,7
Acton Town,Oakwood,0
Acton Town,Old Street,28
Acton Town,Osterley,22
Acton Town,Oval,1
Acton Town,Oxford Circus,38
Acton Town,Paddington,31
Acton Town,Park Royal,39
Acton Town,Parsons Green,29
Acton Town,Perivale,1
Acton Town,Piccadilly Circus,85
Acton Town,Pimlico,10
Acton Town,Pinner,0
Acton Town,Plaistow,2
Acton Town,Preston Road,0
Acton Town,Putney Bridge,21
Acton Town,Queensbury,0
Acton Town,Ravenscourt Park,43
Acton Town,Rayners Lane,4
Acton Town,Redbridge,0
Acton Town,Regent's Park,10
Acton Town,Richmond,33
Acton Town,Rickmansworth,0
Acton Town,Royal Oak,9
Acton Town,Ruislip,1
Acton Town,Ruislip Manor,0
Acton Town,Russell Square,44
Acton Town,Seven Sisters,6
Acton Town,Shepherd's Bush,0
Acton Town,Shepherd's Bush Market,1
Acton Town,Sloane Square,34
Acton Town,South Ealing,21
Acton Town,South Harrow,12
Acton Town,South Kensington,131
Acton Town,South Ruislip,0
Acton Town,South Woodford,0
Acton Town,Southfields,15
Acton Town,Southgate,1
Acton Town,Southwark,32
Acton Town,St. James's Park,64
Acton Town,St. John's Wood,2
Acton Town,St. Paul's,27
Acton Town,Stamford Brook,13
Acton Town,Stepney Green,2
Acton Town,Stockwell,2
Acton Town,Stratford,10
Acton Town,Sudbury Hill,15
Acton Town,Sudbury Town,13
Acton Town,Swiss Cottage,3
Acton Town,Temple,15
Acton Town,Tooting Bec,1
Acton Town,Tooting Broadway,3
Acton Town,Tottenham Court Road,10
Acton Town,Tottenham Hale,4
Acton Town,Totteridge & Whetstone,1
Acton Town,Tower Hill,28
Acton Town,Tufnell Park,1
Acton Town,Turnham Green,20
Acton Town,Turnpike Lane,3
Acton Town,Upminster,0
Acton Town,Upney,0
Acton Town,Upton Park,0
Acton Town,Uxbridge,41
Acton Town,Vauxhall,21
Acton Town,Victoria,53
Acton Town,Walthamstow Central,1
Acton Town,Warren Street,25
Acton Town,Waterloo,32
Acton Town,Watford,1
Acton Town,Wembley Park,1
Acton Town,West Acton,3
Acton Town,West Brompton,17
Acton Town,West Ham,0
Acton Town,West Hampstead,1
Acton Town,West Harrow,0
Acton Town,West Kensington,14
Acton Town,Westbourne Park,9
Acton Town,Westminster,33
Acton Town,White City,3
Acton Town,Whitechapel,10
Acton Town,Willesden Green,0
Acton Town,Wimbledon,77
Acton Town,Wimbledon Park,3
Acton Town,Wood Green,6
Acton Town,Wood Lane,9
Acton Town,Woodford,0
Acton Town,Woodside Park,0
Aldgate,Acton Town,0
Aldgate,Aldgate East,0
Aldgate,Amersham,0
Aldgate,Angel,17
Aldgate,Archway,2
Aldgate,Arnos Grove,0
Aldgate,Arsenal,2
Aldgate,Baker Street,167
Aldgate,Balham,0
Aldgate,Bank and Monument,5
Aldgate,Barbican,221
Aldgate,Barking,0
Aldgate,Barkingside,0
Aldgate,Barons Court,0
Aldgate,Bayswater,1
Aldgate,Belsize Park,1
Aldgate,Bermondsey,0
Aldgate,Bethnal Green,0
Aldgate,Blackfriars,11
Aldgate,Blackhorse Road,2
Aldgate,Bond Street,13
Aldgate,Borough,1
Aldgate,Boston Manor,0
Aldgate,Bounds Green,2
Aldgate,Bow Road,0
Aldgate,Brent Cross,0
Aldgate,Brixton,2
Aldgate,Buckhurst Hill,0
Aldgate,Burnt Oak,0
Aldgate,Caledonian Road,10
Aldgate,Camden Town,8
Aldgate,Canada Water,0
Aldgate,Canary Wharf,1
Aldgate,Canning Town,0
Aldgate,Cannon Street,4
Aldgate,Canons Park,2
Aldgate,Chalfont & Latimer,1
Aldgate,Chalk Farm,1
Aldgate,Chancery Lane,5
Aldgate,Charing Cross,0
Aldgate,Chesham,0
Aldgate,Chigwell,0
Aldgate,Chorleywood,0
Aldgate,Clapham Common,0
Aldgate,Clapham North,0
Aldgate,Clapham South,1
Aldgate,Cockfosters,1
Aldgate,Colindale,4
Aldgate,Colliers Wood,0
Aldgate,Covent Garden,2
Aldgate,Croxley,0
Aldgate,Debden,0
Aldgate,Dollis Hill,4
Aldgate,Ealing Broadway,0
Aldgate,Ealing Common,0
Aldgate,Earl's Court,2
Aldgate,East Acton,4
Aldgate,East Finchley,0
