Code,Msoa_name,education_no qualifications,net weekly income,lone_parent_unemployed,work_49hr_more,no_car_in_household,families_with_3plus_kids,child_poverty,overcrowded_houses,limiting_long-term_illness_disability,health_life_expectancy_at_birth,self_harm_hospital_admission,hospital_admission_associated_with_alcohol,regular_smoking_at15,samhi_index.2011,AvPTAI2015,supermarket,fast_food,population_cannot_speak_english
E02000001,City of London 001,6.7,1250,24.2,1817,3043,8.816705336,7.1,34.6,11.5,70.7988,19.2,71.4,0.0,-1.813009486950949,268.4737922975158,27,0,1.4
E02000002,Barking and Dagenham 001,32.3,645,56.0,203,1020,19.0521327,27.2,14.7,20.4,56.66382,62.6,110.1,3.8,-1.346894583465078,304.9121167883212,0,0,2.4
E02000003,Barking and Dagenham 002,22.8,765,48.8,497,1196,19.14285714,17.9,14.1,15.9,62.953275,28.1,81.8,3.5,-1.86795815839451,442.1456590038314,2,1,2.7
E02000004,Barking and Dagenham 003,30.1,760,42.2,300,556,17.66917293,18.4,8.1,18.3,63.71457,31.2,85.9,5.1,-1.691722201482364,500.2015333333333,0,0,0.8
E02000005,Barking and Dagenham 004,28.9,700,52.3,362,1080,19.67334818,19.6,15.1,16.8,59.2588,34.5,98.2,3.7,-1.650570807817104,586.393588607595,1,0,2.6
E02000007,Barking and Dagenham 006,32.1,635,57.3,307,1496,20.82459818,27.5,17.8,18.0,59.795295,33.4,99.6,3.7,-1.164483165598033,430.4120638297873,2,0,2.1
E02000008,Barking and Dagenham 007,32.3,630,54.9,429,1776,17.10945802,24.6,17.0,19.2,57.94949,47.1,116.5,3.7,-1.002613508554923,569.1303155487806,0,0,2.6
E02000009,Barking and Dagenham 008,29.1,675,51.0,342,1192,17.25431358,27.2,20.1,17.3,58.816005,37.4,103.5,3.5,-1.382882788783789,653.8556022099448,1,0,3.6
E02000010,Barking and Dagenham 009,31.1,685,61.7,311,1281,19.33662668,26.8,19.6,17.0,59.845575,45.7,108.8,3.8,-1.667014983947767,707.3320933333333,0,0,2.3
E02000011,Barking and Dagenham 010,28.6,745,48.3,254,668,18.99313501,22.5,13.3,15.9,62.6281,21.9,90.5,3.9,-1.830646571949165,238.0444485294118,1,0,2.6
E02000012,Barking and Dagenham 011,22.8,855,45.7,418,873,24.06456346,13.7,14.2,14.2,63.133925,26,87.6,3.4,-2.239487896086431,771.0292824858757,0,0,5.2
E02000013,Barking and Dagenham 012,31.2,705,52.6,332,1157,22.8978979,25.0,17.4,17.1,58.53829,41,89.1,3.7,-1.44960836201357,682.057523364486,0,0,2.6
E02000014,Barking and Dagenham 013,32.8,660,57.8,368,1419,19.2722372,22.1,17.8,18.0,61.353475,33.6,108.1,3.9,-1.649921982713232,310.4708461538461,1,0,2.6
E02000015,Barking and Dagenham 014,30.5,625,56.4,274,1534,19.7865353,28.0,21.5,17.2,57.879625,51.4,135.4,3.6,-1.526072355033292,409.75475,1,0,2.3
E02000016,Barking and Dagenham 015,15.0,700,55.2,295,1877,19.83673469,26.3,46.2,8.7,59.566405,55.9,81.7,2.9,-2.262692117505135,212.0421056603774,2,1,6.8
E02000017,Barking and Dagenham 016,20.0,805,47.7,350,1084,22.55707763,16.9,25.0,14.3,58.514245,28.6,85.2,2.4,-2.154457478154359,253.8637767857142,1,0,8.5
E02000018,Barking and Dagenham 017,30.1,655,57.3,298,1421,19.71544715,24.2,20.5,16.5,57.587445,35.1,95.4,3.7,-1.678722290055919,588.0059612903226,1,0,3.4
E02000019,Barking and Dagenham 018,28.8,735,54.0,298,1019,20.86700955,25.4,18.4,15.9,59.032035,45.3,89.2,3.7,-2.175007978234269,378.1184216216216,2,1,2.6
E02000020,Barking and Dagenham 019,27.1,655,50.6,349,1494,23.06049822,22.5,21.8,16.8,56.247635,35.4,95.8,3.1,-1.932343916091845,597.5689931034483,0,0,5.3
E02000021,Barking and Dagenham 020,28.1,690,50.8,312,1106,23.3278956,23.2,18.6,16.7,60.77837,29.8,87.3,3.5,-1.861495126713281,269.4000208333334,0,1,3.5
E02000022,Barking and Dagenham 021,24.9,595,59.2,264,1874,24.20856611,30.4,38.8,12.8,55.561,37.9,95.4,3.2,-2.242628188351885,625.3887626262626,1,0,6.2
E02000023,Barking and Dagenham 022,24.9,635,59.7,220,1171,24.03169014,27.4,27.5,14.6,58.302645,38.1,117.3,3.3,-2.229184500769036,389.3489528795811,0,0,3.8
E02000024,Barnet 001,12.4,1090,29.2,924,824,14.21838178,7.7,9.7,14.5,70.64389,50.2,75.9,3.7,-1.342137009951518,437.8404592857143,3,7,1.5
E02000025,Barnet 002,15.8,945,47.1,619,954,11.67664671,13.5,14.5,15.7,63.721445,54.4,105.9,2.9,-1.560894242252584,363.649003968254,0,0,1.4
E02000026,Barnet 003,15.6,1010,28.7,474,399,13.93341554,8.3,7.4,14.7,68.19918,41.2,76.2,3.6,-1.683781199911312,580.7391988950276,0,0,1.7
E02000027,Barnet 004,22.6,810,47.4,498,1086,18.62318841,19.6,14.8,17.1,62.339905,69.4,105.9,2.2,-1.082707440286849,525.1093028846154,0,2,2.4
E02000028,Barnet 005,13.5,1115,55.4,506,474,13.95646607,15.9,11.0,12.9,68.83416,44.6,72.6,3.0,-1.559873777968382,617.1723166485309,1,0,2.5
E02000029,Barnet 006,16.7,925,47.5,558,922,13.4439834,14.8,14.3,13.9,67.012655,57.2,96.8,3.0,-1.456155146836693,493.0355289256198,3,0,2.0
E02000030,Barnet 007,17.8,1065,45.6,798,479,17.51509922,9.5,6.7,15.1,68.06285,50.7,78.8,3.0,-1.317720562041525,196.2611841104652,0,0,1.4
